stock_code,corp_name,label,gics_sector,start_year,end_year
096040,이트론(주),1,Consumer Staples,2015,2025
019590,(주)에스유앤피,1,Financials,2015,2025
023460,씨앤에이치(주),1,Financials,2015,2025
214870,(주)한울비앤씨,1,Consumer Staples,2015,2025
078940,퀀타피아(주),1,Consumer Staples,2015,2025
182690,테라셈(주),1,Consumer Staples,2015,2022
114570,지스마트글로벌(주),1,Consumer Staples,2015,2022
080440,(주)에스제이케이,1,Consumer Staples,2015,2021
008800,(주)행남사,1,Consumer Staples,2015,2021
204990,(주)코썬바이오,1,Consumer Staples,2015,2020
035480,(주)글로앤웰,1,Consumer Staples,2015,2019
026260,(주)위너지스,1,Consumer Staples,2015,2018
900180,완리인터내셔널홀딩스,1,Financials,2015,2018
023430,아이이(주),1,Consumer Staples,2015,2017
058370,(주)비엔씨컴퍼니,1,Consumer Staples,2015,2017
068060,케이씨더블류 (주),1,Real Estate,2015,2015
039850,(주)태창파로스,1,Consumer Staples,2015,2015
